positive_places,negative_places,positive_animals,negative_animals,produce,household_items
10557.jpg,28286.jpg,ape1.png,alligator1.png,abatefetalpear.png,03ba8301.png
31237.jpg,40944.jpg,asianelephant.png,alligator2.png,acorn.png,adjustablewrench01b.png
39472.jpg,abandoned1.jpg,babybear1.png,alligator3.png,acornsquash1.png,airconditioner.png
44485.jpg,abandoned2.jpg,babybird1.png,alligator4.png,acornsquash2.png,alarmclock01.png
acadia_park.jpg,abandoned3.jpg,babybird2.png,alligator5.png,almond.png,antenna.png
appalachian_1.png,abandoned4.jpg,babybird3.png,alligator6.png,almonds.png,armchair.png
appalachian_2.png,abandoned5.jpg,babybird4.png,alligator7.png,aloevera1.png,armchair02.png
arches_national_park_2.png,abandoned6.jpg,babybunny1.png,Amphibian_2_masked.png,anise1.png,ashtray01.png
arizona_horseshoe_bend_1.png,abandoned7.jpg,babycamel1.png,Amphibian_4_masked.png,apple03b.png,avcable.png
aurora_borealis_1.png,abandoned8.jpg,babycheetah1.png,amphibian3.png,apple07.png,axe.png
aurora_borealis_3.png,abandoned9.jpg,babycheetah2.png,angrybear1.png,apricot.png,axe01.png
bamboo_forest_1.png,abandoned10.jpg,babychipmunk1.png,angrybear2.png,artichoke.png,backpack01a.png
banff_canada_3.png,abandoned11.jpg,babychipmunk2.png,angrydog1.png,artichoke01b.png,bagtie.png
baslatic_prisms_1.png,alcatraz1.jpg,babychipmunk3.png,angrydog2.png,Artichoke2.png,ball.png
Beach 1.jpg,alcatraz2.jpg,babychipmunk4.png,angrydog3.png,arugula.png,bandage.png
Beach 2.jpg,alley1.jpg,babychipmunk5.png,ant1.png,asianpair.png,bandaid01.png
Beach 3.jpg,alley2.jpg,babycougar1.png,ant2.png,asparagus.png,barbecue03.png
Beach 8.jpg,alley3.jpg,babycougar2.png,ant3.png,avocado01.png,barbecuelighter.png
bell_rock_3.png,alley4.jpg,babycow1.png,ant4.png,Avocado2.png,bastingbrush.png
Big_Ben.jpg,Ambulance 2.jpg,babycow2.png,ant5.png,babaco.png,bathtub.png
big_bend_1.png,Ambulance 3.jpg,babycow3.png,ant6.png,banana.png,battery02b.png
big_bend_2.png,ambulance1.png,babycrane1.png,ant7.png,banana04a.png,bed.png
big_bend_3.png,ambulance2.jpg,babycrane2.png,ant8.png,Bananapepper.png,bedside_table.png
Birthday 3.jpg,ambulance3.jpg,babydeer_.png,anteater1.png,basilleaves.png,bench01.png
black_sand_beach_1.png,ambulance4.jpg,babydeer1.png,armadillo1.png,bayleaf.png,bicycle.png
blue_bonnets_texas_3.png,Animal carcass 1.jpg,babydeer2.png,armadillo2.png,beat.png,bikelock.png
blue_mosque.jpg,Animal carcass 5.jpg,babydeer3.png,armadillo3.png,beeftomato.png,bikepump01.png
Boat 1.jpg,ashes1.jpg,babydeer4.png,armadillo4.png,beetroot.png,binder03b.png
bourkes_luck_potholes_1.png,aushwitz1.jpg,babydonkey1.png,armadillo5.png,bittermelonsquash.png,binoculars01b.png
Bridge 1.jpg,aushwitz2.png,babyduck1.png,ayeaye1.png,bitterorange.png,binoculars02a.png
cairgorms_park_1.png,barbedwire1.png,babyduck2.png,ayeaye2.png,Blackbeans.png,birthdaycandle.png
cairgorms_park_3.png,barbedwire2.png,babyelephant1.png,bat1.png,blackberry.png,bit.png
Camping 10.jpg,broken1.jpg,babyelephant2.png,bat2.png,blackberry2.png,bleachbottle.png
cape_horn_1.jpg,broken2.jpg,babyelephant3.png,bat3.png,blackcurrant.png,blender.png
Cape_Horn.jpg,broken3.jpg,babyflamingo1.png,bat4.png,blackolive.png,bolt01a.png
cape_of_good_hope.jpg,Car accident 4.jpg,babyflamingo3.png,Bear_1_masked.png,blackplum.png,boltcutter.png
Cappadocia.png,Car crash 1.jpg,babyfox1.png,Bear_6_masked.png,blackplumcot.png,book01b.png
capri_1.png,Car crash 2.jpg,babyfox2.png,Bear_13_masked.png,blackradish.png,bookcase.png
chicago.jpg,Car crash 3.jpg,babyfox3.png,bear2.png,Bloodorange.png,bookshelf.png
Chrysler_Building.jpg,caraccident1.png,babyfox4.png,bear3.png,Blueberries.png,bottleopener01.png
City 1.jpg,caraccident2.png,babyfox5.png,bear4.png,blueberry01.png,bowl02a.png
CN_Tower.jpg,caraccident3.png,babygiraffe1.png,bear5.png,Bluegrape.png,bowrake.png
Cold 7.jpg,caraccident4.png,babygiraffe2.png,bear6.png,bockchoy1.png,boxcutter03a.png
Colosseum.jpg,carcrash1.jpg,babygoat1.png,bear7.png,bosc pear.png,breadknife.png
Cot_HOU_086.jpg,carcrash2.jpg,babygoat2.png,beetle1.png,boysenberry.png,broom01.png
Cot_HOU021.jpg,carcrash3.jpg,babygoat4.png,beetle2.png,brazilnuts1.png,bucket01a.png
Cot_SPE_021.jpg,carcrash4.jpg,babyguineapig1.png,beetle3.png,Breadfruit.png,bungeecord02.png
